Species Name	Acropora cervicornis	Acropora palmata	Acropora prolifera	Cladocora arbuscula	Eusmilia fastigiata	Madracis asperula	Madracis decactis	Oculina diffusa	Porites divaricata	Porites furcata	Porites porites	Madracis pharensis	Colpophyllia natans	Dichocoenia stokesii	Diploria labyrinthiformis	Isophyllia sinuosa	Manicina areolata	Meandrina meandrites	Pseudodiploria clivosa	Pseudodiploria strigosa	Agaricia humilis	Favia fragum	Isophyllia rigida	Montastraea cavernosa	Orbicella annularis	Orbicella faveolata	Orbicella franksii	Porites astreoides	Siderastrea radians	Siderastrea siderea	Solenastrea bournoni	Mussa angulosa	Scolymia cubensis	Mycetophyllia ferox	Mycetophyllia lamarckiana	Mycetophyllia reesi	Porites colonensis	Agaricia agaricites	Agaricia fragilis	Agaricia grahamae	Agaricia lamarcki	Agaricia tenuifolia	Agaricia undata	Helioseris cucullata
Colony Shape	Branching	Branching	Branching	Branching	Branching	Branching	Branching	Branching	Branching	Branching	Branching	Lumpy	Massive Brains	Massive Brains	Massive Brains	Massive Brains	Massive Brains	Massive Brains	Massive Brains	Massive Brains	Massive Star	Massive Star	Massive Star	Massive Star	Massive Star	Massive Star	Massive Star	Massive Star	Massive Star	Massive Star	Massive Star	Solitary	Solitary	Thick Leafy	Thick Leafy	Thick Leafy	Thick Leafy	Thin Leafy	Thin Leafy	Thin Leafy	Thin Leafy	Thin Leafy	Thin Leafy	Thin Leafy
Corallite Size (mm)	0.8-1	0.5-0.8	0.8-1.0	<6	80-130	1	1.3-1.9	1.5-5	<1.6	1.6-1.8	1.8-2.0	~1.5	-	3.5-4.5	-	-	-	10-20	-	-	-	<5	10-20	5.5-7.5	2.1-2.6	2.2-2.7	2.4-3.4	1.2-1.4	2.5-3	<5	2-2.5	45-70	<100	-	-	-	1.8-2	2-4	1.9-2.5	2-2.9	3.1-4.1	-	2-2.9	<2.5
Coralite wall thickness	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Intermediate	thin	thick	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Columellae size (mm)	-	-	-	1	-	-	-	-	-	-	-	-	<1/4 of valley width	-	1/2 of valley width	-	1/3 of valley width	10-20	1/2 of valley width	1/2 of valley width	-	1/2 of calice/valley width	-	-	1.02	0.96	1.13	-	-	-	-	-	-	-	-	-	N/A	-	-	-	-	-	-	-
Valley width (mm)	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	10-15	3.5-4.5	5-10	10-15	10-15	-	4-10	5-10	-	N/A	10-15	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	-	N/A	10-15	10-15	10-15	N/A	-	2-4	-	-	-	6-7	-
No. of Centers per Series	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	1-3	-	Not distinct	5-10	-	-	>5	-	-	1-3	1-2	N/A	N/A	N/A	N/A	N/A	N/A	N/A	N/A	<5 (in flabellomeandroid)	-	-	-	-	N/A	-	-	-	-	-	-	-
Septal Number	6	6	6	36	15-18/cm	10	10	-	12	12	12	10	<12/cm	-	12-24/cm	>12/cm	12-24/cm	-	>24/cm	12-24/cm	-	12-24/cm	-	36-48	24	24	24	12	30-40	50-60	-	6-9/cm	80	-	-	-	12	<36	17-36	18-28	20-32	-	13-24	15-22
Septal Cycle	1	1	1	-	2	2	-	-	1	1	1	2	>3	2	>3	>3	>3	-	~4	>3	-	~4	-	-	3	3	3	1	3	-	-	>4	>5	-	-	-	1	-	-	-	-	-	-	-
Septal Teeth	-	-	-	-	None	-	-	-	-	-	-	-	Small	-	-	-	-	-	-	-	-	-	-	Channel shape, elliptical perpendicular bases	Irregular, multidirectional with circular bases	Irregular, multidirectional with circular bases	Irregular, multidirectional with circular bases	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
Columella	Absent	Absent	Absent	Trabecular; discontinuous	Trabecular; continuous	Styliform (well-developed)	Styliform (well-developed)	Trabecular (well-developed)	Trabecular (weak); discontinuous	Trabecular; discontinuous	Trabecular; discontinuous	Styliform (well-developed)	Trabecular; discontinuous	Trabecular (weak)	Trabecular (weak); continuous	Trabecular; discontinuous	Continuous	Lamellar	Trabecular; continuous	Well-developed; continuous	-	Trabecular (well-developed); continuous	Trabecular (weak); discontinuous	Trabecular	Trabecular	-	-	Trabecular (well-developed)	Trabecular	Trabecular	Trabecular	Trabecular (well-developed); discontinuous	Trabecular; discontinuous	Trabecular (weak/absent); continuous	Trabecular (weak/absent); continuous	Trabecular (weak/absent); continuous	Absent	Trabecular; discontinuous	Trabecular (weak); discontinuous	Trabecular (well-developed); discontinuous	Trabecular; discontinuous	-	Trabecular (well-developed); discontinuous	Trabecular (weak/none); discontinuous
