Species Name	Colony Shape	Corallite Size (mm)	Coralite wall thickness	Columellae size (mm)	Valley width (mm)	No. of Centers per Series	Septal Number	Septal Cycle	Septal Teeth	Columella	Costae	Coenosteum 	Branch diameter (cm)	Surface	Colony Form	Similar species	Comments/Notes
Acropora cervicornis	Branching	0.8-1	-	-	N/A	N/A	6	1	-	Absent	-	0.2-0.3mm	1-3	-	Plocoid	"Acropora formosa (not in the Carribean/E. Pacific), Acropora prolifera"	Corallite: Distinctive singular central axial corallites with tubular radial corallites; <5mm long
Acropora palmata	Branching	0.5-0.8	-	-	N/A	N/A	6	1	-	Absent	-	0.1-0.2mm	5-25	-	Plocoid	Acropora prolifera	"Corallite: No distinctive axial corallite; irregular length; tubular; <5mm long
Branches: Singular branches
Colony: Largest among Acropora"
Acropora prolifera	Branching	0.8-1.0	-	-	N/A	N/A	6	1	-	Absent	-	0.2-0.3mm	0.5-2	-	Plocoid	"Acropora cervicornis, Acropora palmata"	"Corallites: Radial corallites orient upwards in rows; <5mm long
Branches: Fuse at crossings
Biology: Hybrid between A. cervicornis and A. palmata"
Cladocora arbuscula	Branching	<6	-	1	N/A	N/A	36	-	-	Trabecular; discontinuous	-	-	-	-	Phaceloid	-	Branches: Fine ridges running along the length; each ending with a single corallite
Eusmilia fastigiata	Branching	80-130	-	-	N/A	N/A	15-18/cm	2	None	Trabecular; continuous	Well-developed	N/A	-	-	Phaceloid	-	"Colony: Hemispherical mounds
Septa: Widely spaced; primary septa exsert"
Madracis asperula	Branching	1	-	-	N/A	N/A	10	2	-	Styliform (well-developed)	Absent	-	-	-	Plocoid	-	"Biology: Primarily an azooxanthellae species
Septa: Fuse with columella"
Madracis decactis	Branching	1.3-1.9	-	-	N/A	N/A	10	-	-	Styliform (well-developed)	Absent	-	2-3	-	Plocoid	-	"Colonies: Nodular (flattened and club-shaped), laminar or encrusting
Coenosteum: Fine spicules (sometimes form ridge between corallites)
Septa: Fuse with columella"
Oculina diffusa	Branching	1.5-5	-	-	N/A	N/A	-	-	-	Trabecular (well-developed)	Absent/Reduced	-	<1.5	-	Plocoid	Oculina varicosa	"Corallites: Have neat round exsert walls
Septa: Slight alternation of long and short"
Porites divaricata	Branching	<1.6	-	-	N/A	N/A	12	1	-	Trabecular (weak); discontinuous	-	-	<1	-	Subplocoid	"Porites furcata, Porites porites"	"Pali: 5-6
Branch: Often divide near tips"
Porites furcata	Branching	1.6-1.8	-	-	N/A	N/A	12	1	-	Trabecular; discontinuous	-	-	1-2	-	Subplocoid	"Porites divaricata, Porites porites"	"Branches: Thinner than P. porites but not as slender/branched as P. divaricata; tightly compacted
Pali: 5-6"
Porites porites	Branching	1.8-2.0	-	-	N/A	N/A	12	1	-	Trabecular; discontinuous	-	-	>2	-	Subplocoid	"Porites divaricata, Porites furcata"	"Branches: Stout, irregular, and stubby with blunt and often enlarged tips
Pali: 5-6"
Madracis pharensis	Lumpy	~1.5	-	-	N/A	N/A	10	2	-	Styliform (well-developed)	-	-	-	-	Plocoid	-	"Distribution: Mostly in the Dominican Republic (Corals of the World: None in Panama); Deep water
Septa: Fuse with columella"
Colpophyllia natans	Massive Brains	-	-	<1/4 of valley width	10-15	1-3	<12/cm	>3	Small	Trabecular; discontinuous	Well-developed; discontinuous	Narrow (less than valley width)	N/A	-	Meandroid (sinous)	Colpophyllia breviserialis	"Colony shape: Hemispherical or encrusting
Septa: Exsert, equal
Ambulacral groove: Fine; throughout top of wall"
Dichocoenia stokesii	Massive Brains	3.5-4.5	-	-	3.5-4.5	-	-	2	-	Trabecular (weak)	-	-	N/A	-	Plocoid/Ploco-meandroid	Dichocoenia stellaris	"Colony shape: spherical/thick or submassive plates
Corallites: Protrude, irregular, elliptal, circular or Y-shaped
Taxonomy: Formerly known as Dichocoenia stellaris"
Diploria labyrinthiformis	Massive Brains	-	-	1/2 of valley width	5-10	Not distinct	12-24/cm	>3	-	Trabecular (weak); continuous	Well-developed; discontinuous	Wide	N/A	-	Meandroid (sinuous or parallel)	Colpophyllia natans	"Colony shape: May also be hemispherical
Ambulacral groove: Vary greatly within colony; may be wider than valleys (give superficial appearance of alternating valleys)"
